"x";"HAADF";"Co";"Ni";"Ru"
"Position";"Intensity";"Atomic fraction";"Atomic fraction";"Atomic fraction"
"m";"Counts";"mol/mol";"mol/mol";"mol/mol"
7.155506e-09;3.528356e+04;4.091399e-01;4.634370e-01;1.274236e-01
7.248435e-09;3.527866e+04;4.029860e-01;4.706725e-01;1.263411e-01
7.341364e-09;3.527710e+04;4.114916e-01;4.673061e-01;1.212025e-01
7.434292e-09;3.528173e+04;4.142271e-01;4.628224e-01;1.229501e-01
7.527221e-09;3.528270e+04;4.144539e-01;4.607146e-01;1.248314e-01
7.620149e-09;3.528210e+04;4.179613e-01;4.583229e-01;1.237156e-01
7.713078e-09;3.527950e+04;4.094501e-01;4.662768e-01;1.242732e-01
7.806007e-09;3.527752e+04;4.074847e-01;4.647183e-01;1.277968e-01
7.898935e-09;3.527808e+04;4.107872e-01;4.599074e-01;1.293056e-01
7.991864e-09;3.527231e+04;4.071251e-01;4.625579e-01;1.303172e-01
8.084793e-09;3.527223e+04;4.081807e-01;4.661599e-01;1.256596e-01
8.177721e-09;3.527079e+04;4.056234e-01;4.624268e-01;1.319501e-01
8.270650e-09;3.526888e+04;4.056566e-01;4.659752e-01;1.283683e-01
8.363579e-09;3.526654e+04;4.044615e-01;4.634116e-01;1.321270e-01
8.456507e-09;3.526153e+04;4.087596e-01;4.644606e-01;1.267798e-01
8.549436e-09;3.526288e+04;4.078886e-01;4.675161e-01;1.245950e-01
8.642365e-09;3.525566e+04;4.109836e-01;4.678685e-01;1.211480e-01
8.735293e-09;3.526029e+04;4.186404e-01;4.626459e-01;1.187134e-01
8.828222e-09;3.526160e+04;4.171857e-01;4.621162e-01;1.206985e-01
8.921151e-09;3.526213e+04;4.098312e-01;4.686092e-01;1.215600e-01
9.014079e-09;3.526159e+04;4.115741e-01;4.664324e-01;1.219935e-01
9.107008e-09;3.525818e+04;4.122701e-01;4.636114e-01;1.241188e-01
9.199937e-09;3.526171e+04;4.071221e-01;4.630632e-01;1.298145e-01
9.292865e-09;3.526113e+04;4.033465e-01;4.641128e-01;1.325404e-01
9.385794e-09;3.525866e+04;4.038341e-01;4.648546e-01;1.313112e-01
9.478723e-09;3.525995e+04;4.083876e-01;4.612898e-01;1.303222e-01
9.571651e-09;3.526479e+04;4.106652e-01;4.642771e-01;1.250581e-01
9.664580e-09;3.526359e+04;4.087594e-01;4.683954e-01;1.228454e-01
9.757508e-09;3.526429e+04;4.040718e-01;4.664713e-01;1.294568e-01
9.850437e-09;3.526627e+04;4.049506e-01;4.649344e-01;1.301152e-01
9.943366e-09;3.526398e+04;4.088798e-01;4.572122e-01;1.339076e-01
1.003629e-08;3.526111e+04;4.098321e-01;4.589618e-01;1.312065e-01
1.012922e-08;3.526556e+04;4.153337e-01;4.614978e-01;1.231680e-01
1.022215e-08;3.526545e+04;4.143019e-01;4.561788e-01;1.295197e-01
1.031508e-08;3.525877e+04;4.091251e-01;4.641104e-01;1.267647e-01
1.040801e-08;3.525086e+04;4.095638e-01;4.657008e-01;1.247358e-01
1.050094e-08;3.525870e+04;4.103989e-01;4.653646e-01;1.242361e-01
1.059387e-08;3.525406e+04;4.095001e-01;4.597154e-01;1.307848e-01
1.068679e-08;3.525484e+04;4.073281e-01;4.660259e-01;1.266464e-01
1.077972e-08;3.525736e+04;4.097637e-01;4.605756e-01;1.296611e-01
1.087265e-08;3.526076e+04;4.174803e-01;4.570349e-01;1.254853e-01
1.096558e-08;3.526467e+04;4.140483e-01;4.618606e-01;1.240912e-01
1.105851e-08;3.526480e+04;4.094537e-01;4.675225e-01;1.230236e-01
1.115144e-08;3.527112e+04;4.110672e-01;4.696984e-01;1.192344e-01
1.124437e-08;3.527443e+04;4.039132e-01;4.661501e-01;1.299363e-01
1.133730e-08;3.527728e+04;4.044715e-01;4.643036e-01;1.312247e-01
1.143022e-08;3.527955e+04;4.037148e-01;4.691626e-01;1.271228e-01
1.152315e-08;3.528721e+04;4.097220e-01;4.605650e-01;1.297129e-01
1.161608e-08;3.528993e+04;4.090765e-01;4.666223e-01;1.243014e-01
1.170901e-08;3.529683e+04;4.110567e-01;4.679697e-01;1.209740e-01
1.180194e-08;3.530380e+04;4.141987e-01;4.666479e-01;1.191536e-01
1.189487e-08;3.530248e+04;4.062631e-01;4.602535e-01;1.334840e-01
1.198780e-08;3.530988e+04;4.046845e-01;4.617680e-01;1.335475e-01
1.208072e-08;3.531399e+04;4.036194e-01;4.657673e-01;1.306136e-01
1.217365e-08;3.531264e+04;4.090573e-01;4.635640e-01;1.273791e-01
1.226658e-08;3.532571e+04;4.045681e-01;4.643273e-01;1.311046e-01
1.235951e-08;3.533109e+04;4.072567e-01;4.623715e-01;1.303719e-01
1.245244e-08;3.533955e+04;4.045615e-01;4.642881e-01;1.311500e-01
1.254537e-08;3.534243e+04;4.057195e-01;4.639655e-01;1.303151e-01
1.263830e-08;3.534918e+04;4.050605e-01;4.627796e-01;1.321603e-01
1.273123e-08;3.535930e+04;4.101841e-01;4.626055e-01;1.272107e-01
1.282415e-08;3.535972e+04;4.048321e-01;4.635321e-01;1.316361e-01
1.291708e-08;3.536505e+04;4.054367e-01;4.599797e-01;1.345840e-01
1.301001e-08;3.538080e+04;4.124841e-01;4.546536e-01;1.328623e-01
1.310294e-08;3.538930e+04;4.094160e-01;4.584712e-01;1.321131e-01
1.319587e-08;3.539600e+04;4.096808e-01;4.635589e-01;1.267601e-01
1.328880e-08;3.540369e+04;4.106791e-01;4.644899e-01;1.248309e-01
1.338173e-08;3.541425e+04;4.113250e-01;4.668422e-01;1.218330e-01
1.347465e-08;3.541898e+04;4.112004e-01;4.590949e-01;1.297042e-01
1.356758e-08;3.542970e+04;4.115633e-01;4.619769e-01;1.264596e-01
